budget_year,account_type,department,division,org_code,org_description,fund,fund_code,account_category,account_code,account_description,amount
FY18,Expenses,Police,Office of the Chief Division,,,,General Funds,Purchased Prof and Tech Svcs,E_433060,Other Professional Services,1989
FY18,Expenses,Police,Office of the Chief Division,,,,General Funds,Purchased Prof and Tech Svcs,E_434090,Other Technical Services,100
FY18,Expenses,Police,Office of the Chief Division,,,,General Funds,Purchased Property Services,E_443010,Repair And Maintenance Service,500
FY18,Expenses,Police,Office of the Chief Division,,,,General Funds,Other Purchased Services,E_455010,Printing And Binding,84412
FY18,Expenses,Police,Office of the Chief Division,,,,General Funds,General Supplies,E_461010,Postage,200
FY18,Expenses,Police,Office of the Chief Division,,,,General Funds,General Supplies,E_461020,Office Supplies,3020
FY18,Expenses,Police,Office of the Chief Division,,,,General Funds,General Supplies,E_461160,Small Tools And Equipment,1000
FY18,Expenses,Police,Office of the Chief Division,,,,General Funds,General Supplies,E_461200,Computer Supplies,350
FY18,Expenses,Police,Office of the Chief Division,,,,General Funds,Food,E_463010,Food - Food Programs,50
FY18,Expenses,Police,Office of the Chief Division,,,,General Funds,Books and Periodicals,E_464010,Books & Periodicals,2920
FY18,Expenses,Police,Office of the Chief Division,,,,General Funds,Other Objects,E_481150,Memberships Licenses and Dues,85
FY18,Revenues,Police,Office of the Chief Division,,,,General Funds,Licenses & Permits,R_322580,Burglar Alarm Permits,930000
FY18,Revenues,Police,Office of the Chief Division,,,,General Funds,"Fines, Forfeitures, &  Penalties",R_351030,Delinquency Charges,32000
FY18,Expenses,Police,Office of the Chief Division,,,,General Funds,Salaries,E_411010,Regular Hours,184853
FY18,Expenses,Police,Office of the Chief Division,,,,General Funds,Employee Benefits,E_413150,Insurance Contribution,28693
FY18,Expenses,Police,Office of the Chief Division,,,,General Funds,Employee Benefits,E_413170,PERS Retirement,14424
FY18,Expenses,Police,Office of the Chief Division,,,,General Funds,Employee Benefits,E_413172,PERS Unfunded,14976
FY18,Expenses,Police,Office of the Chief Division,,,,General Funds,Employee Benefits,E_413EPERC,EPERC,-1848
FY18,Expenses,Police,Office of the Chief Division,,,,General Funds,Employee Benefits,E_413190,Deferred Compensation No 1,4870
FY18,Expenses,Police,Office of the Chief Division,,,,General Funds,Employer Paid Taxes,E_415010,FICA - OASDI,11460
FY18,Expenses,Police,Office of the Chief Division,,,,General Funds,Employer Paid Taxes,E_415015,Medicare Insurance,2680
FY18,Expenses,Police,Office of the Chief Division,,,,General Funds,Employer Paid Taxes,E_415020,State Unemployment Insurance,630
FY18,Expenses,Police,Office of the Chief Division,,,,General Funds,Employer Paid Taxes,E_415030,Worker's Compensation,6371
FY18,Expenses,Police,Office of the Chief Division,,,,General Funds,Labor Adjustments,E_810090,Department Reclasses,-25155
FY18,Expenses,Police,Office of the Chief Division,,,,General Funds,Purchased Prof and Tech Svcs,E_431030,Banking And Fiscal Agent Svcs,2400
FY18,Expenses,Police,Office of the Chief Division,,,,General Funds,General Supplies,E_461020,Office Supplies,4200
FY18,Expenses,Police,Office of the Chief Division,,,,General Funds,Interfund SerProvided,E_501010,Central Services Mail Charges,25000
FY18,Revenues,Police,Office of the Chief Division,,,,General Funds,Licenses & Permits,R_322580,Burglar Alarm Permits,70000
FY18,Revenues,Police,Office of the Chief Division,,,,General Funds,"Fines, Forfeitures, &  Penalties",R_351030,Delinquency Charges,-32000
FY18,Revenues,Police,Office of the Chief Division,,,,General Funds,"Fines, Forfeitures, &  Penalties",R_351020,Fines and Penalties,415000
FY18,Expenses,Police,Office of Investigations Division,,,,General Funds,Salaries,E_411010,Regular Hours,197430
FY18,Expenses,Police,Office of Investigations Division,,,,General Funds,Employee Benefits,E_413170,PERS Retirement,14360
FY18,Expenses,Police,Office of Investigations Division,,,,General Funds,Employee Benefits,E_413172,PERS Unfunded,14910
FY18,Expenses,Police,Office of Investigations Division,,,,General Funds,Employee Benefits,E_413EPERC,EPERC,-1840
FY18,Expenses,Police,Office of Investigations Division,,,,General Funds,Employer Paid Taxes,E_415010,FICA - OASDI,12240
FY18,Expenses,Police,Office of Investigations Division,,,,General Funds,Employer Paid Taxes,E_415015,Medicare Insurance,2862
FY18,Expenses,Police,Office of Investigations Division,,,,General Funds,Employer Paid Taxes,E_415020,State Unemployment Insurance,1376
