ObjectId,Fiscal_Year,Department,Fund,CATEGORY,Amount,ExpenseRevenue,Fund_Category
2855,2019,City Clerk,General Fund,Employee Services,2025790,E,General Fund
2863,2019,City Clerk,General Fund,Labor and Supply Offset,-945725,E,General Fund
2868,2019,City Clerk,General Fund,Other Services and Supplies,559211,E,General Fund
2873,2019,City Clerk,Interdepartmental Service Fund,Labor and Supply Offset,949725,E,Other Governmental Funds
2878,2019,City Clerk,General Fund,"Charges, Fees, and Services",2000,R,General Fund
2883,2019,City Clerk,General Fund,Intergovernmental,50000,R,General Fund
2888,2019,City Manager,General Fund,City Property,18326,E,General Fund
2934,2019,City Manager,General Fund,Employee Services,7152027,E,General Fund
2936,2019,City Manager,General Fund,Labor and Supply Offset,-1915582,E,General Fund
2944,2019,City Manager,General Fund,Other Services and Supplies,1609082,E,General Fund
2948,2019,City Manager,2003 North Sac TE TABS,Other Services and Supplies,9000,E,Other Governmental Funds
2952,2019,City Manager,Block Grant/Housing & Redev,Other Services and Supplies,29250,E,Other Governmental Funds
2956,2019,City Manager,Innovation and Growth Fund,Employee Services,367686,E,Other Governmental Funds
2960,2019,City Manager,Innovation and Growth Fund,Other Services and Supplies,215333,E,Other Governmental Funds
2964,2019,City Manager,Interdepartmental Service Fund,Labor and Supply Offset,1788355,E,Other Governmental Funds
2968,2019,City Manager,General Fund,"Charges, Fees, and Services",158208,R,General Fund
2972,2019,City Manager,General Fund,Licenses and Permits,4394750,R,General Fund
2976,2019,City Manager,Block Grant/Housing & Redev,Intergovernmental,29250,R,Other Governmental Funds
2977,2019,City Treasurer,General Fund,City Property,4500,E,General Fund
2978,2019,City Treasurer,General Fund,Employee Services,2158137,E,General Fund
2979,2019,City Treasurer,General Fund,Labor and Supply Offset,-311688,E,General Fund
2980,2019,City Treasurer,General Fund,Other Services and Supplies,290272,E,General Fund
2981,2019,City Treasurer,Interdepartmental Service Fund,Labor and Supply Offset,312038,E,Other Governmental Funds
