OBJECTID,Time,budget_year,Group_Section,department,DIVISION,DEPARTMENT_DESCRIPTION,fund_code,FUND_DESCRIPTION,account_type,account_category,ACCOUNT_DESCRIPTION,amount
9501,2016,FY2015_16,Mayor/Council or Charter Offices,Mayor/Council,Mayor Council Operations Division,Council Operations,Other,Interdepartmental Service Fund,Expenses,Labor and Supply Offset,ICP Reimbursement DR,1262164
9502,2016,FY2015_16,Mayor/Council or Charter Offices,Mayor/Council,Mayor Council Operations Division,Council Operations,General Funds,General Fund,Expenses,Labor and Supply Offset,ICP Reimbursement CR,-1262164
9503,2016,FY2015_16,Mayor/Council or Charter Offices,Mayor/Council,City Council District 1,Council District 1,General Funds,General Fund,Expenses,Employee Services,Annual Adjustments - Review,9100
9504,2016,FY2015_16,Mayor/Council or Charter Offices,Mayor/Council,City Council District 1,Council District 1,General Funds,General Fund,Expenses,Employee Services,Regular Hours,182113
9505,2016,FY2015_16,Mayor/Council or Charter Offices,Mayor/Council,City Council District 1,Council District 1,General Funds,General Fund,Expenses,Employee Services,FICA - OASDI,11291
9506,2016,FY2015_16,Mayor/Council or Charter Offices,Mayor/Council,City Council District 1,Council District 1,General Funds,General Fund,Expenses,Employee Services,Annual Adjustments - Review,-600
9507,2016,FY2015_16,Mayor/Council or Charter Offices,Mayor/Council,City Council District 1,Council District 1,General Funds,General Fund,Expenses,Employee Services,State Unemployment Insurance,630
9508,2016,FY2015_16,Mayor/Council or Charter Offices,Mayor/Council,City Council District 1,Council District 1,General Funds,General Fund,Expenses,Employee Services,Medicare Insurance,2641
9509,2016,FY2015_16,Mayor/Council or Charter Offices,Mayor/Council,City Council District 1,Council District 1,General Funds,General Fund,Expenses,Employee Services,Deferred Compensation No 1,6411
9510,2016,FY2015_16,Mayor/Council or Charter Offices,Mayor/Council,City Council District 1,Council District 1,General Funds,General Fund,Expenses,Employee Services,PERS Retirement,28284
9511,2016,FY2015_16,Mayor/Council or Charter Offices,Mayor/Council,City Council District 1,Council District 1,General Funds,General Fund,Expenses,Employee Services,Worker's Compensation,1821
9512,2016,FY2015_16,Mayor/Council or Charter Offices,Mayor/Council,City Council District 1,Council District 1,General Funds,General Fund,Expenses,Other Services and Supplies,Other Travel Expenses,6000
9513,2016,FY2015_16,Mayor/Council or Charter Offices,Mayor/Council,City Council District 1,Council District 1,General Funds,General Fund,Expenses,Other Services and Supplies,Other Technical Services,18628
9514,2016,FY2015_16,Mayor/Council or Charter Offices,Mayor/Council,City Council District 1,Council District 1,General Funds,General Fund,Expenses,Other Services and Supplies,Department Budget Reduction,5129
9515,2016,FY2015_16,Mayor/Council or Charter Offices,Mayor/Council,City Council District 1,Council District 1,General Funds,General Fund,Expenses,Other Services and Supplies,Department Budget Reduction,436
9516,2016,FY2015_16,Mayor/Council or Charter Offices,Mayor/Council,City Council District 1,Council District 1,General Funds,General Fund,Expenses,Other Services and Supplies,Citywide Budget Increase,47952
9517,2016,FY2015_16,Mayor/Council or Charter Offices,Mayor/Council,City Council District 1,Council District 1,General Funds,General Fund,Expenses,Other Services and Supplies,Office Supplies,40000
9518,2016,FY2015_16,Mayor/Council or Charter Offices,Mayor/Council,City Council District 1,Council District 1,General Funds,General Fund,Expenses,Other Services and Supplies,Community Support Programs,55000
9519,2016,FY2015_16,Mayor/Council or Charter Offices,Mayor/Council,City Council District 1,Council District 1,General Funds,General Fund,Expenses,Employee Services,Insurance Contribution,9357
9520,2016,FY2015_16,Mayor/Council or Charter Offices,Mayor/Council,City Council District 2,Council District 2,General Funds,General Fund,Expenses,Employee Services,Insurance Contribution,26157
9521,2016,FY2015_16,Mayor/Council or Charter Offices,Mayor/Council,City Council District 2,Council District 2,General Funds,General Fund,Expenses,Employee Services,Annual Adjustments - Review,8500
9522,2016,FY2015_16,Mayor/Council or Charter Offices,Mayor/Council,City Council District 2,Council District 2,General Funds,General Fund,Expenses,Employee Services,Regular Hours,182338
