budget_year,account_type,department,division,org_code,org_description,fund,fund_code,account_category,account_code,account_description,amount
FY16,Expenses,Police,Office of the Chief Division,,,,General Funds,Employer Paid Taxes,E_415020,State Unemployment Insurance,4410
FY16,Expenses,Police,Office of the Chief Division,,,,General Funds,Employer Paid Taxes,E_415030,Worker's Compensation,89779
FY16,Expenses,Police,Office of the Chief Division,,,,General Funds,Labor Adjustments,E_810060,Department Labor Reduction,-70000
FY16,Expenses,Police,Office of the Chief Division,,,,General Funds,Purchased Prof and Tech Svcs,E_432010,Contracted Instructional Svcs,5000
FY16,Expenses,Police,Office of the Chief Division,,,,General Funds,Purchased Prof and Tech Svcs,E_433060,Other Professional Services,1500
FY16,Expenses,Police,Office of the Chief Division,,,,General Funds,Purchased Prof and Tech Svcs,E_433060,Other Professional Services,1602
FY16,Expenses,Police,Office of the Chief Division,,,,General Funds,Other Objects,E_481010,Group Benefit Clearing,-1602
FY16,Expenses,Police,Office of the Chief Division,,,,General Funds,Purchased Prof and Tech Svcs,E_434020,Data Processing Services,36135
FY16,Expenses,Police,Office of the Chief Division,,,,General Funds,Purchased Property Services,E_443010,Repair And Maintenance Service,2000
FY16,Expenses,Police,Office of the Chief Division,,,,General Funds,Other Purchased Services,E_458020,Meals,7020
FY16,Expenses,Police,Office of the Chief Division,,,,General Funds,Other Purchased Services,E_458040,Other Travel Expenses,33601
FY16,Expenses,Police,Office of the Chief Division,,,,General Funds,General Supplies,E_461010,Postage,400
FY16,Expenses,Police,Office of the Chief Division,,,,General Funds,General Supplies,E_461020,Office Supplies,8000
FY16,Expenses,Police,Office of the Chief Division,,,,General Funds,General Supplies,E_461090,Scientific And Technical Supply,3858
FY16,Expenses,Police,Office of the Chief Division,,,,General Funds,General Supplies,E_461150,Recreational Supplies,10000
FY16,Expenses,Police,Office of the Chief Division,,,,General Funds,General Supplies,E_461160,Small Tools And Equipment,1500
FY16,Expenses,Police,Office of the Chief Division,,,,General Funds,General Supplies,E_461200,Computer Supplies,7000
FY16,Expenses,Police,Office of the Chief Division,,,,General Funds,Food,E_463010,Food - Food Programs,2000
FY16,Expenses,Police,Office of the Chief Division,,,,General Funds,Books and Periodicals,E_464010,Books & Periodicals,2700
FY16,Expenses,Police,Office of the Chief Division,,,,General Funds,Other Objects,E_481010,Group Benefit Clearing,1602
FY16,Expenses,Police,Office of the Chief Division,,,,General Funds,Other Objects,E_481080,Purchase Card Clearing,10000
FY16,Expenses,Police,Office of the Chief Division,,,,General Funds,Other Objects,E_481150,Memberships Licenses and Dues,2000
FY16,Revenues,Police,Office of the Chief Division,,,,General Funds,"Charges, Fees, & Services Accounts",R_347090,Other Departmental Service,21000
FY16,Expenses,Police,Office of the Chief Division,,,,General Funds,Salaries,E_411010,Regular Hours,1944779
FY16,Expenses,Police,Office of the Chief Division,,,,General Funds,Earnings,E_412010,Overtime,9500
FY16,Expenses,Police,Office of the Chief Division,,,,General Funds,Earnings,E_412060,On Call,17000
FY16,Expenses,Police,Office of the Chief Division,,,,General Funds,Earnings,E_412070,Out Of Class,22997
FY16,Expenses,Police,Office of the Chief Division,,,,General Funds,Employee Benefits,E_413070,Holiday Credit Used,18546
FY16,Expenses,Police,Office of the Chief Division,,,,General Funds,Employee Benefits,E_413090,In Lieu Vacation,2509
FY16,Expenses,Police,Office of the Chief Division,,,,General Funds,Employee Benefits,E_413130,Longevity,600
FY16,Expenses,Police,Office of the Chief Division,,,,General Funds,Employee Benefits,E_413150,Insurance Contribution,172652
FY16,Expenses,Police,Field Services Division,,,,General Funds,Labor Adjustments,E_810090,Department Reclasses,-21865
FY16,Expenses,Police,Field Services Division,,,,General Funds,Other Purchased Services,E_458040,Other Travel Expenses,1346
FY16,Expenses,Police,Field Services Division,,,,General Funds,Other Objects,E_481010,Group Benefit Clearing,-1346
FY16,Expenses,Police,Field Services Division,,,,General Funds,Labor Adjustments,E_810090,Department Reclasses,21865
FY16,Expenses,Police,Field Services Division,,,,General Funds,Employee Benefits,E_413170,PERS Retirement,104880
FY16,Expenses,Police,Field Services Division,,,,General Funds,Employee Benefits,E_413EPERC,EPERC,-1899
FY16,Expenses,Police,Field Services Division,,,,General Funds,Employee Benefits,E_413190,Deferred Compensation No 1,19415
FY16,Expenses,Police,Field Services Division,,,,General Funds,Employee Benefits,E_413200,Management Leave Pay Off,484
FY16,Expenses,Police,Field Services Division,,,,General Funds,Employee Benefits,E_413210,Bus Passes,800
FY16,Expenses,Police,Field Services Division,,,,General Funds,Employee Benefits,E_413280,Automobile Allowance,600
FY16,Expenses,Police,Field Services Division,,,,General Funds,Employee Benefits,E_413300,Clothing and Uniforms,832
FY16,Expenses,Police,Field Services Division,,,,General Funds,Employer Paid Taxes,E_415010,FICA - OASDI,41868
FY16,Expenses,Police,Field Services Division,,,,General Funds,Employer Paid Taxes,E_415015,Medicare Insurance,9792
FY16,Expenses,Police,Field Services Division,,,,General Funds,Employer Paid Taxes,E_415020,State Unemployment Insurance,2100
FY16,Expenses,Police,Field Services Division,,,,General Funds,Employer Paid Taxes,E_415030,Worker's Compensation,6753
FY16,Expenses,Police,Field Services Division,,,,General Funds,Purchased Property Services,E_443020,Repair And Maintenance Services,3000
FY16,Expenses,Police,Field Services Division,,,,General Funds,Other Purchased Services,E_453020,Cellular Telephone,10000
FY16,Expenses,Police,Field Services Division,,,,General Funds,Other Purchased Services,E_458040,Other Travel Expenses,10000
FY16,Expenses,Police,Field Services Division,,,,General Funds,General Supplies,E_461010,Postage,50
FY16,Expenses,Police,Field Services Division,,,,General Funds,General Supplies,E_461020,Office Supplies,2500
FY16,Expenses,Police,Field Services Division,,,,General Funds,General Supplies,E_461090,Scientific And Technical Supply,6400
FY16,Expenses,Police,Field Services Division,,,,General Funds,General Supplies,E_461160,Small Tools And Equipment,1000
FY16,Expenses,Police,Field Services Division,,,,General Funds,General Supplies,E_461200,Computer Supplies,2000
FY16,Expenses,Police,Field Services Division,,,,General Funds,Food,E_463010,Food - Food Programs,1000
FY16,Expenses,Police,Field Services Division,,,,General Funds,Books and Periodicals,E_464010,Books & Periodicals,1330
FY16,Expenses,Police,Field Services Division,,,,General Funds,Other Objects,E_481010,Group Benefit Clearing,1346
FY16,Expenses,Police,Field Services Division,,,,General Funds,Other Objects,E_481080,Purchase Card Clearing,5000
FY16,Expenses,Police,Field Services Division,,,,General Funds,Other Objects,E_481150,Memberships Licenses and Dues,200
FY16,Expenses,Police,Field Services Division,,,,General Funds,Salaries,E_411010,Regular Hours,675294
FY16,Expenses,Police,Field Services Division,,,,General Funds,Earnings,E_412010,Overtime,12500
FY16,Expenses,Police,Field Services Division,,,,General Funds,Earnings,E_412070,Out Of Class,5000
FY16,Expenses,Police,Field Services Division,,,,General Funds,Employee Benefits,E_413090,In Lieu Vacation,605
FY16,Expenses,Police,Field Services Division,,,,General Funds,Employee Benefits,E_413130,Longevity,100
FY16,Expenses,Police,Field Services Division,,,,General Funds,Employee Benefits,E_413150,Insurance Contribution,92916
FY16,Expenses,Police,Office of the Chief Division,,,,General Funds,Food,E_463010,Food - Food Programs,50
FY16,Expenses,Police,Office of the Chief Division,,,,General Funds,Purchased Prof and Tech Svcs,E_433060,Other Professional Services,1489
FY16,Expenses,Police,Office of the Chief Division,,,,General Funds,Other Objects,E_481010,Group Benefit Clearing,-1489
FY16,Expenses,Police,Office of the Chief Division,,,,General Funds,Books and Periodicals,E_464010,Books & Periodicals,2920
FY16,Expenses,Police,Office of the Chief Division,,,,General Funds,Other Objects,E_481010,Group Benefit Clearing,1489
FY16,Expenses,Police,Office of the Chief Division,,,,General Funds,Other Objects,E_481150,Memberships Licenses and Dues,85
FY16,Expenses,Police,Office of the Chief Division,,,,General Funds,Salaries,E_411010,Regular Hours,727702
FY16,Expenses,Police,Office of the Chief Division,,,,General Funds,Earnings,E_412010,Overtime,40300
FY16,Expenses,Police,Office of the Chief Division,,,,General Funds,Earnings,E_412060,On Call,20000
FY16,Expenses,Police,Office of the Chief Division,,,,General Funds,Earnings,E_412070,Out Of Class,237
FY16,Expenses,Police,Office of the Chief Division,,,,General Funds,Employee Benefits,E_413070,Holiday Credit Used,12128
FY16,Expenses,Police,Office of the Chief Division,,,,General Funds,Employee Benefits,E_413090,In Lieu Vacation,1665
FY16,Expenses,Police,Office of the Chief Division,,,,General Funds,Employee Benefits,E_413120,Sick Leave Annual,1272
FY16,Expenses,Police,Office of the Chief Division,,,,General Funds,Employee Benefits,E_413130,Longevity,400
FY16,Expenses,Police,Office of the Chief Division,,,,General Funds,Employee Benefits,E_413150,Insurance Contribution,88586
FY16,Expenses,Police,Office of the Chief Division,,,,General Funds,Employee Benefits,E_413170,PERS Retirement,225356
FY16,Expenses,Police,Office of the Chief Division,,,,General Funds,Employee Benefits,E_413EPERC,EPERC,-10524
FY16,Expenses,Police,Office of the Chief Division,,,,General Funds,Employee Benefits,E_413190,Deferred Compensation No 1,8428
FY16,Expenses,Police,Office of the Chief Division,,,,General Funds,Employee Benefits,E_413200,Management Leave Pay Off,548
FY16,Expenses,Police,Office of the Chief Division,,,,General Funds,Employee Benefits,E_413300,Clothing and Uniforms,6656
FY16,Expenses,Police,Office of the Chief Division,,,,General Funds,Employer Paid Taxes,E_415010,FICA - OASDI,7411
FY16,Expenses,Police,Office of the Chief Division,,,,General Funds,Employer Paid Taxes,E_415015,Medicare Insurance,10552
FY16,Expenses,Police,Office of the Chief Division,,,,General Funds,Employer Paid Taxes,E_415020,State Unemployment Insurance,1680
FY16,Expenses,Police,Office of the Chief Division,,,,General Funds,Employer Paid Taxes,E_415030,Worker's Compensation,34645
FY16,Expenses,Police,Office of the Chief Division,,,,General Funds,Purchased Prof and Tech Svcs,E_433060,Other Professional Services,500
FY16,Expenses,Police,Office of the Chief Division,,,,General Funds,Purchased Prof and Tech Svcs,E_434090,Other Technical Services,100
FY16,Expenses,Police,Office of the Chief Division,,,,General Funds,Purchased Property Services,E_443010,Repair And Maintenance Service,500
FY16,Expenses,Police,Office of the Chief Division,,,,General Funds,Other Purchased Services,E_455010,Printing And Binding,84412
FY16,Expenses,Police,Office of the Chief Division,,,,General Funds,General Supplies,E_461010,Postage,200
FY16,Expenses,Police,Office of the Chief Division,,,,General Funds,General Supplies,E_461020,Office Supplies,3020
FY16,Expenses,Police,Office of the Chief Division,,,,General Funds,General Supplies,E_461160,Small Tools And Equipment,1000
