ObjectId,Fiscal_Year,Department,Fund,CATEGORY,Amount,ExpenseRevenue,Fund_Category
4001,2021,City Auditor,General Fund,Labor and Supply Offset,-571754,E,Governmental Funds
4002,2021,City Auditor,General Fund,Other Services and Supplies,131581,E,Governmental Funds
4005,2021,City Auditor,General Fund,Transfers,-123914,E,Governmental Funds
4006,2021,Citywide and Community Support,General Fund,Licenses and Permits,1714289,R,Governmental Funds
4007,2021,City Auditor,Interdepartmental Service Fund,Labor and Supply Offset,449428,E,Other Governmental Funds
4010,2021,City Attorney,Storm Drainage Fund,Labor and Supply Offset,42018,E,Enterprise Funds
4013,2021,City Attorney,Wastewater Fund,Labor and Supply Offset,42018,E,Enterprise Funds
4014,2021,Citywide and Community Support,General Fund,Taxes,350083856,R,Governmental Funds
4017,2021,City Attorney,Water Fund,Labor and Supply Offset,126055,E,Enterprise Funds
4018,2021,Citywide and Community Support,Measure U Fund,Taxes,80179186,R,Governmental Funds
4021,2021,City Attorney,General Fund,City Property,13750,E,Governmental Funds
4022,2021,Citywide and Community Support,Cty/Cnty Office-Water Planning,Intergovernmental,683727,R,Other Governmental Funds
4025,2021,City Attorney,General Fund,Employee Services,10893159,E,Governmental Funds
4026,2021,Citywide and Community Support,Del Paso PBID,"Charges, Fees, and Services",37000,R,Other Governmental Funds
4029,2021,City Attorney,General Fund,Labor and Supply Offset,-3826416,E,Governmental Funds
4030,2021,Citywide and Community Support,Downtown Plaza PBID,"Charges, Fees, and Services",72450,R,Other Governmental Funds
4031,2021,Citywide and Community Support,General Fund,Employee Services,16366304,E,Governmental Funds
4032,2021,Convention and Cultural Services,General Fund,Operating Transfers,0,E,Governmental Funds
4077,2021,Convention and Cultural Services,General Fund,Other Services and Supplies,3047351,E,Governmental Funds
4078,2021,Citywide and Community Support,General Fund,Labor and Supply Offset,-2044153,E,Governmental Funds
4079,2021,City Attorney,General Fund,Other Services and Supplies,301391,E,Governmental Funds
4080,2021,Citywide and Community Support,Franklin Blvd PBID,"Charges, Fees, and Services",80730,R,Other Governmental Funds
4081,2021,City Attorney,Cty/Cnty Office-Water Planning,Labor and Supply Offset,10000,E,Other Governmental Funds
4083,2021,Citywide and Community Support,General Fund,Operating Transfers,0,E,Governmental Funds
4084,2021,City Attorney,Interdepartmental Service Fund,Labor and Supply Offset,2395712,E,Other Governmental Funds
4085,2021,Citywide and Community Support,Gas Tax 2106,"Interest, Rents, and Concessions",239000,R,Other Governmental Funds
4086,2021,Convention and Cultural Services,General Fund,Transfers,-101347,E,Governmental Funds
4088,2021,Citywide and Community Support,General Fund,Other Services and Supplies,58291382,E,Governmental Funds
4089,2021,City Attorney,General Fund,Intergovernmental,52000,R,Governmental Funds
4090,2021,Citywide and Community Support,Gas Tax 2106,Intergovernmental,0,R,Other Governmental Funds
4091,2021,Convention and Cultural Services,Fairytale Town Fund,Labor and Supply Offset,25000,E,Other Governmental Funds
4093,2021,Citywide and Community Support,Measure U Fund,Employee Services,77208259,E,Governmental Funds
4094,2021,City Clerk,General Fund,City Property,2000,E,Governmental Funds
4095,2021,Citywide and Community Support,Habitat Management Element,Intergovernmental,440476,R,Other Governmental Funds
4096,2021,Convention and Cultural Services,Fairytale Town Fund,Other Services and Supplies,25000,E,Other Governmental Funds
4098,2021,Citywide and Community Support,Measure U Fund,Other Services and Supplies,9151367,E,Governmental Funds
4099,2021,City Clerk,General Fund,Employee Services,2432387,E,Governmental Funds
4100,2021,Citywide and Community Support,Innovation and Growth Fund,Taxes,8127901,R,Other Governmental Funds
4101,2021,Convention and Cultural Services,H Street Theater Fund,City Property,20000,E,Other Governmental Funds
4103,2021,Citywide and Community Support,Fleet Management Fund,Employee Services,317387,E,Internal Service Funds
4104,2021,City Clerk,General Fund,Labor and Supply Offset,-959135,E,Governmental Funds
4105,2021,Citywide and Community Support,Library Services Parcel Tax,"Charges, Fees, and Services",8639847,R,Other Governmental Funds
4106,2021,Convention and Cultural Services,H Street Theater Fund,Other Services and Supplies,25000,E,Other Governmental Funds
4108,2021,Citywide and Community Support,4th R Program,Employee Services,34498,E,Other Governmental Funds
4109,2021,City Clerk,General Fund,Other Services and Supplies,619340,E,Governmental Funds
4110,2021,Citywide and Community Support,Major Street Construction Fund,"Interest, Rents, and Concessions",95000,R,Other Governmental Funds
4111,2021,Convention and Cultural Services,Old Sac Market,Other Services and Supplies,104000,E,Other Governmental Funds
4113,2021,Citywide and Community Support,Cty/Cnty Office-Water Planning,City Property,3000,E,Other Governmental Funds
4114,2021,City Clerk,Interdepartmental Service Fund,Labor and Supply Offset,959135,E,Other Governmental Funds
4115,2021,Citywide and Community Support,Marina Fund,"Interest, Rents, and Concessions",18000,R,Other Governmental Funds
4116,2021,Convention and Cultural Services,Old Sacto Maint Dist,Labor and Supply Offset,65246,E,Other Governmental Funds
4117,2021,Convention and Cultural Services,Winchester G & Mary Alice Felt,Transfers,101347,E,Other Governmental Funds
4118,2021,Convention and Cultural Services,Zoo,Labor and Supply Offset,50000,E,Other Governmental Funds
4119,2021,Convention and Cultural Services,Community Center Fund,"Charges, Fees, and Services",1993966,R,Enterprise Funds
4120,2021,Convention and Cultural Services,Community Center Fund,"Fines, Forfeitures, and  Penalties",3100,R,Enterprise Funds
4121,2021,Convention and Cultural Services,Community Center Fund,"Interest, Rents, and Concessions",148792,R,Enterprise Funds
4122,2021,Convention and Cultural Services,Community Center Fund,Intergovernmental,12000,R,Enterprise Funds
4123,2021,Convention and Cultural Services,Community Center Fund,Miscellaneous Revenue,866000,R,Enterprise Funds
4124,2021,Convention and Cultural Services,Community Center Fund,Taxes,12672049,R,Enterprise Funds
4125,2021,Convention and Cultural Services,General Fund,"Charges, Fees, and Services",277677,R,Governmental Funds
4126,2021,Convention and Cultural Services,General Fund,"Interest, Rents, and Concessions",180000,R,Governmental Funds
4127,2021,Convention and Cultural Services,General Fund,Intergovernmental,458650,R,Governmental Funds
4128,2021,Convention and Cultural Services,General Fund,Licenses and Permits,5500,R,Governmental Funds
4129,2021,Convention and Cultural Services,Fairytale Town Fund,"Charges, Fees, and Services",50000,R,Other Governmental Funds
4130,2021,Convention and Cultural Services,H Street Theater Fund,Intergovernmental,30000,R,Other Governmental Funds
4131,2021,Convention and Cultural Services,H Street Theater Fund,Miscellaneous Revenue,15000,R,Other Governmental Funds
4132,2021,Convention and Cultural Services,Old Sac Market,"Charges, Fees, and Services",110000,R,Other Governmental Funds
