budget_year,account_type,department,division,org_code,org_description,fund,fund_code,account_category,account_code,account_description,amount
FY17,Expenses,Mayor/Council,Mayor Council Operations Division,,,,General Funds,Interfund Reimbursement,E_502030,ICP Reimbursement CR,-1252311
FY17,Expenses,Mayor/Council,Mayor Council Operations Division,,,,Other,Interfund Reimbursement,E_502040,ICP Reimbursement DR,1252311
FY17,Expenses,Mayor/Council,Mayor Council Operations Division,,,,General Funds,Labor Adjustments,E_810050,Base Labor Increase,-650223
FY17,Expenses,Mayor/Council,Mayor Council Operations Division,,,,General Funds,Labor Adjustments,E_810050,Base Labor Increase,1241632
FY17,Expenses,Mayor/Council,City Council District 1,,,,General Funds,Labor Adjustments,E_810070,Annual Adjustments - Review,481
FY17,Expenses,Mayor/Council,City Council District 1,,,,General Funds,Service & Supply Adjustments,E_890070,Department Budget Reduction,9367
FY17,Expenses,Mayor/Council,City Council District 1,,,,General Funds,Service & Supply Adjustments,E_890060,Citywide Budget Increase,28552
FY17,Expenses,Mayor/Council,City Council District 1,,,,General Funds,Service & Supply Adjustments,E_890070,Department Budget Reduction,-4643
FY17,Expenses,Mayor/Council,City Council District 1,,,,General Funds,Salaries,E_411010,Regular Hours,201306
FY17,Expenses,Mayor/Council,City Council District 1,,,,General Funds,Employee Benefits,E_413150,Insurance Contribution,9363
FY17,Expenses,Mayor/Council,City Council District 1,,,,General Funds,Employee Benefits,E_413170,PERS Retirement,33167
FY17,Expenses,Mayor/Council,City Council District 1,,,,General Funds,Employee Benefits,E_413EPERC,EPERC,-651
FY17,Expenses,Mayor/Council,City Council District 1,,,,General Funds,Employee Benefits,E_413190,Deferred Compensation No 1,7091
FY17,Expenses,Mayor/Council,City Council District 1,,,,General Funds,Employer Paid Taxes,E_415010,FICA - OASDI,12480
FY17,Expenses,Mayor/Council,City Council District 1,,,,General Funds,Employer Paid Taxes,E_415015,Medicare Insurance,2918
FY17,Expenses,Mayor/Council,City Council District 1,,,,General Funds,Employer Paid Taxes,E_415020,State Unemployment Insurance,630
FY17,Expenses,Mayor/Council,City Council District 1,,,,General Funds,Employer Paid Taxes,E_415030,Worker's Compensation,2013
FY17,Expenses,Mayor/Council,City Council District 1,,,,General Funds,Labor Adjustments,E_810070,Annual Adjustments - Review,8500
FY17,Expenses,Mayor/Council,City Council District 1,,,,General Funds,Purchased Prof and Tech Svcs,E_434090,Other Technical Services,18628
FY17,Expenses,Mayor/Council,City Council District 1,,,,General Funds,Other Purchased Services,E_458040,Other Travel Expenses,6000
FY17,Expenses,Mayor/Council,City Council District 1,,,,General Funds,General Supplies,E_461020,Office Supplies,40000
FY17,Expenses,Mayor/Council,City Council District 1,,,,General Funds,Other Objects,E_481100,Community Support Programs,55000
FY17,Expenses,Mayor/Council,City Council District 1,,,,General Funds,Service & Supply Adjustments,E_890040,Base Budget Increase,2995
FY17,Expenses,Mayor/Council,City Council District 2,,,,General Funds,Labor Adjustments,E_810040,Base Labor Reduction,-216600
FY17,Expenses,Mayor/Council,City Council District 2,,,,General Funds,Service & Supply Adjustments,E_890070,Department Budget Reduction,9367
FY17,Expenses,Mayor/Council,City Council District 2,,,,General Funds,Service & Supply Adjustments,E_890040,Base Budget Increase,2995
FY17,Expenses,Mayor/Council,City Council District 2,,,,General Funds,Labor Adjustments,E_810040,Base Labor Reduction,216600
FY17,Expenses,Mayor/Council,City Council District 2,,,,General Funds,Labor Adjustments,E_810070,Annual Adjustments - Review,1200
FY17,Expenses,Mayor/Council,City Council District 2,,,,General Funds,Service & Supply Adjustments,E_890060,Citywide Budget Increase,19531
FY17,Expenses,Mayor/Council,City Council District 2,,,,General Funds,Service & Supply Adjustments,E_890070,Department Budget Reduction,-4643
FY17,Expenses,Mayor/Council,City Council District 2,,,,General Funds,Salaries,E_411010,Regular Hours,194893
FY17,Expenses,Mayor/Council,City Council District 2,,,,General Funds,Employee Benefits,E_413150,Insurance Contribution,26171
FY17,Expenses,Mayor/Council,City Council District 2,,,,General Funds,Employee Benefits,E_413170,PERS Retirement,32110
FY17,Expenses,Mayor/Council,City Council District 2,,,,General Funds,Employee Benefits,E_413EPERC,EPERC,-1172
FY17,Expenses,Mayor/Council,City Council District 2,,,,General Funds,Employee Benefits,E_413190,Deferred Compensation No 1,6650
FY17,Expenses,Mayor/Council,City Council District 2,,,,General Funds,Employer Paid Taxes,E_415010,FICA - OASDI,12083
FY17,Expenses,Mayor/Council,City Council District 2,,,,General Funds,Employer Paid Taxes,E_415015,Medicare Insurance,2825
FY17,Expenses,Mayor/Council,City Council District 2,,,,General Funds,Employer Paid Taxes,E_415020,State Unemployment Insurance,630
FY17,Expenses,Mayor/Council,City Council District 2,,,,General Funds,Employer Paid Taxes,E_415030,Worker's Compensation,1948
FY17,Expenses,Mayor/Council,City Council District 2,,,,General Funds,Labor Adjustments,E_810070,Annual Adjustments - Review,8500
FY17,Expenses,Mayor/Council,City Council District 2,,,,General Funds,Purchased Prof and Tech Svcs,E_434090,Other Technical Services,18628
FY17,Expenses,Mayor/Council,City Council District 2,,,,General Funds,Other Purchased Services,E_458040,Other Travel Expenses,6000
FY17,Expenses,Mayor/Council,City Council District 2,,,,General Funds,General Supplies,E_461020,Office Supplies,40000
FY17,Expenses,Mayor/Council,City Council District 2,,,,General Funds,Other Objects,E_481100,Community Support Programs,55000
FY17,Expenses,Mayor/Council,City Council District 2,,,,General Funds,Labor Adjustments,E_810070,Annual Adjustments - Review,481
FY17,Expenses,Mayor/Council,City Council District 3,,,,General Funds,Labor Adjustments,E_810070,Annual Adjustments - Review,10900
FY17,Expenses,Mayor/Council,City Council District 3,,,,General Funds,Service & Supply Adjustments,E_890040,Base Budget Increase,2995
FY17,Expenses,Mayor/Council,City Council District 3,,,,General Funds,Service & Supply Adjustments,E_890060,Citywide Budget Increase,-10605
FY17,Expenses,Mayor/Council,City Council District 3,,,,General Funds,Service & Supply Adjustments,E_890070,Department Budget Reduction,-4643
FY17,Expenses,Mayor/Council,City Council District 3,,,,General Funds,Purchased Prof and Tech Svcs,E_434090,Other Technical Services,18628
FY17,Expenses,Mayor/Council,City Council District 3,,,,General Funds,Other Purchased Services,E_458040,Other Travel Expenses,6000
