OBJECTID,Time,budget_year,Group_Section,department,DIVISION,DEPARTMENT_DESCRIPTION,fund_code,FUND_DESCRIPTION,account_type,account_category,ACCOUNT_DESCRIPTION,amount
1,2015,FY2014_15,Other,Debt Service,2013 Debt Service Water Revenues,Debt Service 2013 Water Revenues,Water,Water Revenue Bonds,Expenses,City Debt Service,Interest Payments,10471250
2,2015,FY2014_15,Other,Debt Service,2013 Debt Service Water Revenues,Debt Service 2013 Water Revenues,Water,Water Revenue Bonds,Expenses,City Debt Service,Debt Service Transfer In,-14011250
3,2015,FY2014_15,Other,Debt Service,2013 Debt Service Water Revenues,Debt Service 2013 Water Revenues,Water,Water Revenue Bonds,Expenses,City Debt Service,Principal Payments,3540000
4,2015,FY2014_15,Other,Debt Service,2013 Debt Service Water Revenues,Debt Service 2013 Water Revenues,Water,Water Fund,Expenses,City Debt Service,Debt Service Transfer Out,14011250
5,2015,FY2014_15,Other,Debt Service,2013 Wastewater Revenue Bonds,Debt Service 2013 Wastewater Rev Bonds,Wastewater,Wastewater Fund,Expenses,City Debt Service,Debt Service Transfer Out,1403831
6,2015,FY2014_15,Other,Debt Service,2013 Wastewater Revenue Bonds,Debt Service 2013 Wastewater Rev Bonds,Wastewater,Wastewater Revenue Bonds,Expenses,City Debt Service,Interest Payments,1403831
7,2015,FY2014_15,Other,Debt Service,2013 Wastewater Revenue Bonds,Debt Service 2013 Wastewater Rev Bonds,Wastewater,Wastewater Revenue Bonds,Expenses,City Debt Service,Debt Service Transfer In,-1403831
8,2015,FY2014_15,Operating,General Services,311 Division,Sacramento City 311,General Funds,General Fund,Expenses,Other Services and Supplies,Memberships Licenses and Dues,1000
9,2015,FY2014_15,Operating,General Services,311 Division,Sacramento City 311,General Funds,General Fund,Expenses,Other Services and Supplies,Computer Supplies,500
10,2015,FY2014_15,Operating,General Services,311 Division,Sacramento City 311,General Funds,General Fund,Expenses,Other Services and Supplies,Office Supplies,1000
11,2015,FY2014_15,Operating,General Services,311 Division,Sacramento City 311,General Funds,General Fund,Expenses,Other Services and Supplies,Printing And Binding,5000
12,2015,FY2014_15,Operating,General Services,311 Division,Sacramento City 311,General Funds,General Fund,Expenses,Employee Services,Regular Hours,1152788
